# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.0545          	smoothSolver	1.77284250e-02	9.04365970e-04	2	2.03759130e-02	1.07789050e-03	2	false	GAMG	4.48223640e-02	3.42589470e-03	1	true
0.055           	smoothSolver	1.77010900e-02	8.76026060e-04	2	2.05313220e-02	1.07432200e-03	2	false	GAMG	2.43793270e-02	1.97471450e-03	1	true
0.0555          	smoothSolver	1.76369060e-02	8.75478300e-04	2	2.06146650e-02	1.07774440e-03	2	false	GAMG	1.90427810e-02	1.44378340e-03	1	true
0.056           	smoothSolver	1.76289870e-02	8.74086690e-04	2	2.07743370e-02	1.08751250e-03	2	false	GAMG	1.72960950e-02	1.28846320e-03	1	true
0.0565          	smoothSolver	1.75843930e-02	8.72700440e-04	2	2.09029020e-02	1.08991270e-03	2	false	GAMG	2.46359740e-02	1.72354680e-03	1	true
0.057           	smoothSolver	1.75710200e-02	8.60554210e-04	2	2.10777580e-02	1.08340450e-03	2	false	GAMG	1.81778270e-02	1.35798390e-03	1	true
0.0575          	smoothSolver	1.75670510e-02	8.81617470e-04	2	2.11814980e-02	1.10789150e-03	2	false	GAMG	2.17583510e-02	1.52476440e-03	1	true
0.058           	smoothSolver	1.75255600e-02	8.74980500e-04	2	2.12493230e-02	1.10579270e-03	2	false	GAMG	2.14724740e-02	1.63457220e-03	1	true
0.0585          	smoothSolver	1.75705910e-02	8.64607210e-04	2	2.13330450e-02	1.10157620e-03	2	false	GAMG	1.96842830e-02	1.43278150e-03	1	true
0.059           	smoothSolver	1.74658470e-02	8.83557990e-04	2	2.13531220e-02	1.10699170e-03	2	false	GAMG	2.13148520e-02	1.55738940e-03	1	true
0.0595          	smoothSolver	1.74546650e-02	9.03810690e-04	2	2.13128240e-02	1.12506100e-03	2	false	GAMG	1.94818660e-02	1.37564040e-03	1	true
0.06            	smoothSolver	1.73823160e-02	8.76828820e-04	2	2.12935410e-02	1.10833280e-03	2	false	GAMG	2.32504210e-02	1.63632630e-03	1	true
0.0605          	smoothSolver	1.73460040e-02	8.90285820e-04	2	2.12684100e-02	1.11891950e-03	2	false	GAMG	2.66700550e-02	1.95413970e-03	1	true
0.061           	smoothSolver	1.72507360e-02	8.97442220e-04	2	2.11493060e-02	1.11315700e-03	2	false	GAMG	2.78079840e-02	2.06082850e-03	1	true
0.0615          	smoothSolver	1.72274950e-02	8.70985620e-04	2	2.10128590e-02	1.09339170e-03	2	false	GAMG	3.26635550e-02	2.34395400e-03	1	true
0.062           	smoothSolver	1.72194950e-02	8.61123560e-04	2	2.08867110e-02	1.09278210e-03	2	false	GAMG	3.31679190e-02	2.38668630e-03	1	true
0.0625          	smoothSolver	1.71826580e-02	8.72132130e-04	2	2.06924610e-02	1.08132170e-03	2	false	GAMG	4.03165370e-02	2.89685380e-03	1	true
0.063           	smoothSolver	1.70421500e-02	8.73234690e-04	2	2.05003590e-02	1.08950720e-03	2	false	GAMG	5.08770990e-02	3.35061330e-03	1	true
0.0635          	smoothSolver	1.71102630e-02	8.93563820e-04	2	2.03685380e-02	1.08786470e-03	2	false	GAMG	5.46547960e-02	3.77098520e-03	1	true
0.064           	smoothSolver	1.69936880e-02	8.94921880e-04	2	2.01416370e-02	1.08833240e-03	2	false	GAMG	9.01621500e-02	5.34961650e-03	1	true
0.0645          	smoothSolver	1.69752170e-02	8.85809170e-04	2	1.99836110e-02	1.06830540e-03	2	false	GAMG	9.23590320e-02	6.51124240e-03	1	true
0.065           	smoothSolver	1.69275860e-02	8.79030490e-04	2	1.97576560e-02	1.05714060e-03	2	false	GAMG	1.68257610e-01	9.29463990e-03	1	true
0.0655          	smoothSolver	1.70999250e-02	9.05398850e-04	2	1.97178390e-02	1.06584400e-03	2	false	GAMG	2.13381280e-01	1.26471050e-02	1	true
0.066           	smoothSolver	1.69924220e-02	8.85842220e-04	2	1.95205450e-02	1.03950690e-03	2	false	GAMG	1.44213320e-01	9.69283340e-03	1	true
0.0665          	smoothSolver	1.68819610e-02	8.71931220e-04	2	1.93045980e-02	1.02539370e-03	2	false	GAMG	9.95725170e-02	6.84368270e-03	1	true
0.067           	smoothSolver	1.68138760e-02	8.56649940e-04	2	1.90733320e-02	1.01746370e-03	2	false	GAMG	8.88713810e-02	6.41769090e-03	1	true
0.0675          	smoothSolver	1.67855300e-02	8.27638850e-04	2	1.89006790e-02	9.86810900e-04	2	false	GAMG	7.96122040e-02	5.23254200e-03	1	true
0.068           	smoothSolver	1.67452290e-02	8.34725290e-04	2	1.87692280e-02	9.83450730e-04	2	false	GAMG	7.11936210e-02	5.05591480e-03	1	true
0.0685          	smoothSolver	1.67343110e-02	8.16053170e-04	2	1.86197810e-02	9.54361040e-04	2	false	GAMG	6.26941830e-02	4.41574160e-03	1	true
0.069           	smoothSolver	1.65924290e-02	7.93598010e-04	2	1.84174880e-02	9.28013820e-04	2	false	GAMG	5.92614940e-02	4.20538530e-03	1	true
0.0695          	smoothSolver	1.66889160e-02	8.03191280e-04	2	1.83421110e-02	9.29596890e-04	2	false	GAMG	5.80630060e-02	4.08308220e-03	1	true
0.07            	smoothSolver	1.64749140e-02	7.93008820e-04	2	1.81917510e-02	9.14243430e-04	2	false	GAMG	5.50634630e-02	3.97374800e-03	1	true
0.0705          	smoothSolver	1.65050300e-02	8.13144820e-04	2	1.81424800e-02	9.36884710e-04	2	false	GAMG	5.29572180e-02	3.95800880e-03	1	true
0.071           	smoothSolver	1.73125610e-02	8.77664460e-04	2	1.90220790e-02	9.91928610e-04	2	false	GAMG	5.43446980e-02	3.71217520e-03	1	true
0.0715          	smoothSolver	1.66935990e-02	8.49203810e-04	2	1.83885290e-02	9.85299480e-04	2	false	GAMG	5.35535530e-02	3.63692130e-03	1	true
0.072           	smoothSolver	1.63361260e-02	8.26935460e-04	2	1.81370020e-02	9.38412280e-04	2	false	GAMG	5.32785810e-02	3.73937700e-03	1	true
0.0725          	smoothSolver	1.62470600e-02	8.09987090e-04	2	1.80182620e-02	9.24604510e-04	2	false	GAMG	5.59354660e-02	4.03241300e-03	1	true
0.073           	smoothSolver	1.60499690e-02	8.07265320e-04	2	1.78648960e-02	9.23958470e-04	2	false	GAMG	6.12849220e-02	4.52993690e-03	1	true
0.0735          	smoothSolver	1.59181160e-02	7.95015690e-04	2	1.77257980e-02	9.29875070e-04	2	false	GAMG	5.56095420e-02	4.32202130e-03	1	true
0.074           	smoothSolver	1.58045330e-02	7.89394770e-04	2	1.75761290e-02	9.05913170e-04	2	false	GAMG	6.41315410e-02	5.16659530e-03	1	true
0.0745          	smoothSolver	1.57082650e-02	7.78175390e-04	2	1.75168090e-02	8.74410840e-04	2	false	GAMG	9.31240140e-02	6.01407940e-03	1	true
0.075           	smoothSolver	1.55829450e-02	7.76326270e-04	2	1.73873460e-02	8.76794830e-04	2	false	GAMG	8.46032400e-02	6.31973720e-03	1	true
